Step,Value
256,4978.841309
258,1586.341309
260,189.5115051
261,25.47403908
263,88.16031647
265,97.01675415
266,134.0629272
267,131.8029327
268,123.9540787
269,122.5458984
270,113.0744095
271,105.5776825
272,108.8934174
273,124.4178238
274,41.4653244
275,80.62490082
276,53.01669312
277,22.69154358
278,48.28447723
279,80.92204285
280,57.2429657
282,51.95322037
285,48.52050781
286,41.8177948
287,50.71347046
288,37.86697388
289,39.99715424
291,59.70682526
294,38.65484619
295,45.10295105
297,35.96031189
298,47.83415604
299,27.15065193
300,26.8547287
301,48.24666214
302,27.37900543
304,23.64269447
305,155.0363617
307,205.9899597
308,175.7242126
309,83.53081512
310,113.6051331
311,116.5097046
312,102.2304764
314,135.3412933
315,130.5617981
316,120.5687637
317,126.7881927
318,96.22498322
319,116.7606583
320,76.16844177
321,115.6808624
322,92.83133698
323,98.81426239
324,72.87875366
326,164.4052277
327,105.0778503
328,72.57858276
329,93.36322784
331,108.3989868
332,121.539978
333,112.511795
334,711.3164063
336,177.3498688
337,124.7493439
339,90.18264771
340,162.6006927
341,232.5084381
342,224.7987976
343,131.23349
344,127.0076447
346,199.6092224
347,108.3229828
348,129.795517
349,155.4623871
351,161.7919617
352,104.5837402
354,135.163559
355,110.0699768
356,106.0981522
357,94.82835388
358,129.9802704
359,119.4825745
360,103.5168533
361,170.3471527
363,75.60868835
364,165.7001801
365,122.7437286
366,112.9574814
368,78.96662903
369,109.493927
370,169.9968567
371,79.62611389
372,88.83336639
373,137.5274963
374,129.3223572
375,107.8677139
376,90.47084045
378,80.23789978
379,101.5623016
380,104.2959137
381,72.41077423
382,77.2766571
384,108.4401703
385,119.8357391
388,80.88482666
389,58.51153946
391,100.7202301
392,91.73797607
394,98.98495483
396,78.33319092
397,80.24000549
398,135.8041229
399,110.3400879
400,85.44654083
401,84.25567627
403,54.77513885
404,91.14211273
405,102.6681747
406,85.5674057
408,121.940094
409,141.2198029
410,92.1576767
412,53.07356262
413,90.34648132
414,168.2506561
416,110.216835
417,149.6524353
419,120.5753479
420,131.96492
422,95.74371338
423,64.16033173
424,110.2548599
426,112.1822662
427,106.6866837
428,125.2588272
430,98.03782654
431,130.3926544
432,122.8756485
433,76.96920776
435,160.9197235
436,116.9820938
437,53.34528732
438,119.1859207
439,76.96191406
440,95.2173996
441,140.3542023
442,98.0275116
443,65.74267578
445,126.3603973
446,57.84129715
449,94.44773102
453,106.9583664
454,98.09908295
456,92.85386658
457,121.3854599
458,93.31983948
460,77.90768433
461,80.79512787
462,98.53460693
463,90.08255768
464,71.15023804
467,83.81800842
468,122.7310257
469,49.27964783
470,92.20046997
472,113.55513
473,99.46464539
474,95.0010376
475,170.52005
476,61.29676819
477,116.6282349
478,134.2748108
480,75.1526413
481,103.8757324
482,147.7497406
