Step,Value
3,8
5,9
6,7
8,8
10,8
11,7
12,8
13,8
14,9
15,8
16,10
17,7
18,7
19,8
20,7
22,7
24,10
25,7
30,7
31,7
32,7
33,7
34,10
36,7
39,8
40,8
42,7
43,7
44,7
45,15
47,9
49,7
50,7
53,7
54,7
55,9
56,9
57,8
60,7
61,7
63,7
64,7
65,12
66,7
67,7
68,13
69,7
71,9
72,8
73,9
74,8
76,7
78,7
79,7
81,9
82,8
84,9
85,8
86,8
87,7
88,7
89,11
91,7
92,8
93,8
94,7
99,7
100,7
102,9
104,9
105,7
106,7
109,7
113,8
116,7
118,8
119,8
120,7
124,10
125,9
126,7
127,7
129,7
130,9
133,7
136,7
137,8
139,7
141,7
142,13
143,7
144,7
145,7
146,7
148,7
149,8
150,10
151,8
153,7
154,7
155,7
157,7
158,7
159,7
161,7
162,7
164,7
165,8
167,8
168,7
169,7
171,7
175,7
176,8
177,7
178,7
180,9
181,7
183,13
185,7
186,7
187,8
188,7
190,7
191,10
198,7
202,7
205,8
206,7
207,7
208,7
212,7
213,9
214,8
215,7
218,7
219,7
220,9
221,7
222,7
223,7
225,7
226,10
227,8
229,7
230,7
231,7
232,7
233,7
234,9
237,14
238,7
240,7
244,8
245,8
247,8
248,9
249,7
250,7
251,7
252,7
255,7
258,13
259,11
260,15
261,11
263,7
267,13
269,13
271,7
272,13
273,7
274,10
275,9
277,15
278,18
280,9
282,11
284,27
289,54
291,15
292,8
294,8
295,9
296,9
297,7
298,8
299,17
300,10
301,8
302,11
303,15
307,8
308,23
310,10
313,7
317,16
318,29
319,8
320,7
322,7
323,10
324,12
325,19
326,7
327,7
330,7
331,8
333,7
335,9
337,68
339,28
341,18
342,15
343,10
344,11
345,8
346,9
347,7
348,9
349,10
351,9
353,10
354,8
356,7
358,7
359,8
360,7
361,9
362,8
363,27
364,11
365,8
366,10
367,8
368,8
370,10
371,9
373,11
375,7
376,9
377,7
378,7
379,7
381,9
382,8
384,8
385,8
386,8
387,26
388,8
390,13
391,9
392,11
393,9
398,12
399,7
402,8
403,12
405,8
406,10
408,7
410,14
415,18
416,9
419,7
420,9
421,9
422,9
423,7
424,11
426,16
428,10
430,19
432,15
435,23
436,8
439,9
440,10
441,10
442,10
444,7
445,9
448,10
449,9
451,9
454,10
457,8
458,8
459,9
460,10
461,10
463,39
464,12
465,8
466,21
467,7
468,12
469,10
471,10
473,87
474,15
477,16
478,70
482,14
485,8
486,7
488,8
489,8
491,8
492,8
493,10
496,8
497,8
499,7
503,9
506,8
507,11
508,11
509,8
510,13
511,34
512,9
514,10
515,15
516,12
517,12
518,13
519,18
520,12
524,16
525,9
531,11
533,8
534,8
535,10
536,10
537,22
538,9
539,9
540,12
541,9
542,9
543,24
544,21
545,46
546,7
547,13
548,13
549,17
551,25
552,8
553,20
555,8
557,15
559,19
560,8
563,8
564,31
565,12
567,45
568,9
569,9
571,13
573,8
574,8
576,10
577,10
578,15
579,7
580,9
581,12
582,9
583,19
584,9
586,8
587,7
588,9
591,12
592,8
593,12
595,25
596,10
597,17
598,7
600,8
602,9
603,12
604,9
606,8
608,7
610,8
611,9
612,10
615,14
619,15
620,15
621,19
622,16
623,14
625,9
626,15
629,9
630,9
632,11
634,10
635,9
638,11
640,20
641,28
642,8
644,11
645,13
646,31
647,19
648,14
649,9
650,10
651,10
652,8
656,9
657,9
659,9
661,9
662,10
663,9
664,15
665,21
666,15
667,10
668,10
669,14
671,8
672,15
673,31
674,21
675,7
677,9
678,11
679,16
681,13
682,9
683,8
684,10
685,16
686,16
687,14
688,32
689,10
692,9
694,8
696,10
699,12
700,12
701,12
702,9
703,7
704,12
705,10
706,8
707,16
708,7
709,12
710,18
711,10
714,8
715,10
718,14
719,21
721,9
722,13
723,8
724,12
725,9
726,10
729,21
730,8
731,8
735,14
736,9
738,14
739,12
740,8
741,8
743,12
746,12
747,10
749,9
750,8
751,8
752,8
753,18
754,9
755,10
756,15
759,19
760,18
762,9
764,10
765,10
766,8
767,9
769,7
770,22
771,10
772,16
773,17
774,8
775,21
776,11
779,15
780,10
783,9
784,12
785,21
787,9
789,14
790,26
791,10
792,11
793,25
794,27
795,8
796,11
798,11
799,10
800,11
802,9
805,12
806,21
807,37
808,12
809,16
811,16
812,10
813,9
815,12
816,18
818,11
821,9
823,14
824,8
825,9
828,16
829,23
831,8
832,20
834,9
835,9
836,9
838,10
839,19
842,8
843,18
845,13
846,12
847,8
848,8
850,17
851,11
852,8
853,12
855,12
857,9
859,9
860,21
861,12
862,11
863,19
867,10
868,20
869,13
870,10
873,9
874,10
875,9
876,16
877,9
879,8
880,17
881,22
882,8
884,11
886,8
887,7
888,12
889,9
890,10
892,10
893,7
894,13
896,27
897,8
899,22
900,13
904,10
905,27
907,9
908,11
909,11
910,7
911,14
912,8
913,9
915,9
916,11
917,8
920,10
921,8
922,10
923,9
925,18
931,24
932,12
933,10
934,36
935,9
939,12
942,33
943,13
945,15
948,11
949,21
951,8
952,14
953,29
954,18
956,16
957,22
958,14
959,9
960,19
961,8
962,8
963,9
964,12
966,8
967,9
969,9
971,9
972,14
974,19
976,12
977,11
978,8
979,9
982,12
983,12
984,10
985,15
987,8
988,9
990,18
991,25
996,7
997,16
999,10
1000,10
1002,9
1003,12
1004,9
1005,13
1007,10
1008,10
1009,10
1011,12
1012,10
1013,17
1014,13
1017,17
1019,15
1022,9
1024,17
1025,9
1026,15
1027,8
1029,13
1031,7
1032,8
1033,10
1035,8
1036,16
1037,17
1038,7
1039,7
1042,7
1043,19
1044,11
1049,10
1050,16
1051,15
1052,11
1054,17
1055,11
1056,10
1057,8
1058,11
1063,10
1064,10
1065,17
1066,9
1067,10
1068,12
1070,8
1071,10
1072,9
1073,27
1074,18
1075,9
1076,10
1077,12
1078,8
1080,8
1081,8
1082,23
1083,8
1084,7
1085,8
1086,9
1088,11
1090,12
1092,10
1093,11
1094,30
1096,16
1098,9
1099,8
1101,12
1103,14
1104,12
1105,8
1107,15
1110,17
1111,16
1114,9
1116,9
1119,11
1122,8
1123,10
1124,12
1125,15
1126,11
1127,20
1128,31
1129,8
1130,20
1131,18
1133,22
1134,8
1135,10
1138,8
1139,17
1141,9
1142,9
1143,12
1144,10
1146,26
1149,14
1150,10
1151,7
1152,15
1153,30
1154,15
1155,11
1156,15
1157,14
1158,8
1159,22
1160,15
1161,17
1162,12
1164,9
1165,7
1166,20
1167,20
1177,18
1180,22
1181,8
1182,12
1183,9
1185,19
1186,10
1187,9
1188,15
1189,9
1191,8
1192,10
1193,7
1194,15
1195,14
1196,25
1197,9
1198,17
1199,23
1200,10
1201,29
1203,7
1204,8
1206,11
1207,11
1208,11
1210,10
1211,8
1212,13
1213,10
1214,12
1215,14
1219,10
1221,8
1224,12
1225,14
1227,12
1228,10
1229,10
1231,20
1232,11
1233,9
1234,8
1235,11
1236,10
1237,33
1238,8
1239,11
1242,17
1243,11
1244,14
1246,8
1247,15
1248,15
1249,20
1250,13
1253,16
1254,16
1255,19
1256,14
1257,12
1258,8
1259,11
1261,8
1262,9
1263,13
1264,8
1265,8
1266,10
1267,22
1268,11
1271,9
1272,21
1274,9
1278,8
1279,14
1281,9
1282,13
1285,10
1287,22
1288,22
1289,11
1291,16
1292,8
1293,10
1294,12
1296,12
1297,9
1298,8
1299,8
1300,16
1302,10
1303,8
1304,10
1306,17
1307,11
1310,12
1312,8
1313,17
1315,7
1316,9
1317,22
1318,8
1319,9
1320,11
1321,21
1324,9
1325,14
1326,22
1327,8
1328,8
1329,8
1330,10
1332,17
1333,8
1334,11
1335,11
1336,11
1337,10
1340,14
1342,9
1343,13
1344,9
1345,9
1346,8
1347,16
1348,10
1349,11
1350,9
1351,9
1354,24
1355,11
1358,8
1359,10
1361,7
1362,10
1363,9
1365,9
1366,13
1367,8
1369,8
1370,11
1371,18
1373,13
1374,13
1375,13
1377,18
1378,19
1379,7
1381,8
1382,13
1384,22
1385,8
1386,16
1387,21
1388,11
1389,16
1391,8
1392,7
1395,12
1397,8
1400,16
1404,9
1409,11
1412,8
1413,22
1414,13
1415,10
1416,9
1417,39
1419,16
1420,10
1422,12
1423,11
1425,9
1426,9
1427,7
1428,10
1430,11
1431,10
1432,8
1433,11
1434,12
1435,9
1436,8
1437,19
1438,10
1440,10
1442,8
1443,10
1445,17
1448,11
1450,19
1454,8
1455,10
1456,24
1457,15
1460,19
1461,8
1462,8
1465,9
1466,18
1468,10
1469,16
1470,25
1473,16
1474,10
1477,8
1478,20
1479,15
1480,10
1481,16
1482,10
1483,21
1485,11
1486,9
1487,10
1488,8
1489,10
1490,10
1491,21
1492,10
1493,12
1497,13
1499,15
