Step,Value
259,1.016210318
264,0.758713543
269,0.970532179
274,1.0246948
279,0.851304114
284,0.915218055
289,0.781544864
294,0.990750492
299,1.259545684
304,0.742089272
309,0.879140437
314,0.971794486
319,0.815890908
324,0.888518989
329,0.88788873
334,0.768294275
339,0.721999824
344,0.713740408
349,0.895192444
354,0.972875893
359,0.819607735
364,0.850212455
369,1.121545196
374,1.034965396
379,1.065676451
384,0.930244982
389,1.062520504
394,1.115219474
399,1.041970253
404,1.34155333
409,0.906023622
414,1.070901513
419,0.996730208
424,1.135073185
429,1.193747997
434,1.0654217
439,0.996638834
444,1.281601787
449,0.95888716
454,1.085208178
459,0.87340343
464,1.332402468
469,1.118507624
474,0.84800899
479,1.224955678
484,1.161451221
489,1.379090071
494,1.401207566
499,1.504647017
504,1.342110157
509,1.422498703
514,1.770947933
519,1.772496343
524,1.597500086
529,1.685466409
534,1.772032738
539,1.860000014
544,1.319501877
549,1.94750011
554,2.20735836
559,1.597468853
564,1.824755192
569,1.772306561
574,1.597500086
579,1.789676666
584,1.772632241
589,2.005067348
594,1.918040991
599,1.816925526
604,2.291805744
609,2.380061865
614,2.03621459
619,2.12399888
624,2.384982824
629,1.904281616
634,2.384994984
639,2.010716438
644,2.122499704
649,2.472140312
654,1.77237463
659,1.658171654
664,1.684831738
669,1.947499514
674,2.107439518
679,2.384999752
684,2.034999371
689,2.121955872
694,2.20995903
699,2.210000038
704,2.281830788
709,2.297499895
714,2.559950829
719,2.12248373
724,2.3849895
729,2.266514778
734,2.034999847
739,2.107398748
744,2.647055387
749,2.446908236
754,2.272145987
759,1.947515726
764,2.819300175
769,2.734999418
774,2.559999943
779,2.297497988
784,2.472499847
789,2.122097254
794,2.472449541
799,2.909999847
804,2.299089909
809,2.297460079
814,2.38499999
819,2.734446049
824,2.38497138
829,2.210000038
834,2.209065437
839,2.467938423
844,2.909944534
849,2.471735716
854,2.808742523
859,2.647488832
864,2.734999657
869,2.734555483
874,2.458739758
879,2.472499847
884,2.823451519
889,2.735002518
894,2.734926939
899,2.47249651
904,2.808670282
909,2.647485495
914,2.647499561
919,2.997499466
924,3.171326637
929,2.64735198
934,2.909999847
939,2.821326256
944,2.734999657
949,2.644855976
954,2.647495747
959,2.734999657
964,2.822301865
969,2.997496367
974,2.822499752
979,2.735012293
984,3.085000038
989,2.64485693
994,3.084790707
999,2.560380697
