Step,Value
0,7
1,9
2,7
3,10
4,7
5,8
6,7
7,10
8,7
9,7
10,7
11,7
12,9
13,8
14,7
15,15
16,7
17,7
18,8
19,7
20,7
21,7
22,7
23,7
24,9
25,8
26,7
27,7
28,7
29,14
30,10
31,7
32,8
33,7
34,7
35,7
36,9
37,7
38,10
39,11
40,7
41,7
42,7
43,7
44,8
45,7
46,15
47,8
48,7
49,7
50,10
51,7
52,7
53,7
54,11
55,8
56,9
57,7
58,7
59,8
60,9
61,7
62,7
63,8
64,11
65,8
66,7
67,7
68,7
69,7
70,10
71,7
72,9
73,7
74,7
75,9
76,7
77,7
78,7
79,7
80,8
81,7
82,7
83,7
84,7
85,7
86,7
87,8
88,9
89,8
90,7
91,8
92,8
93,7
94,7
95,9
96,7
97,7
98,7
99,9
100,9
101,7
102,10
103,7
104,12
105,7
106,7
107,7
108,7
109,7
110,8
111,7
112,11
113,7
114,7
115,8
116,7
117,7
118,8
119,7
120,7
121,7
122,9
123,7
124,7
125,7
126,7
127,8
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,10
136,10
137,7
138,7
139,7
140,7
141,7
142,8
143,7
144,7
145,8
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,8
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,12
165,9
166,10
167,7
168,10
169,8
170,8
171,8
172,7
173,9
174,7
175,7
176,7
177,9
178,7
179,8
180,7
181,7
182,8
183,11
184,7
185,7
186,7
187,11
188,7
189,10
190,10
191,7
192,9
193,7
194,7
195,7
196,7
197,11
198,7
199,7
200,7
201,7
202,10
203,10
204,7
205,7
206,7
207,7
208,7
209,7
210,9
211,11
212,8
213,10
214,7
215,7
216,7
217,9
218,7
219,7
220,7
221,13
222,7
223,7
224,8
225,13
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,8
235,7
236,7
237,9
238,8
239,7
240,7
241,7
242,12
243,10
244,7
245,9
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,10
255,8
256,7
257,7
258,8
259,10
260,9
261,7
262,7
263,7
264,7
265,15
266,7
267,9
268,7
269,12
270,7
271,7
272,7
273,12
274,7
275,12
276,8
277,9
278,10
279,7
280,12
281,8
282,7
283,7
284,7
285,7
286,7
287,10
288,11
289,8
290,7
291,8
292,9
293,8
294,7
295,8
296,7
297,10
298,7
299,8
300,8
301,13
302,7
303,9
304,7
305,8
306,9
307,7
308,9
309,10
310,7
311,7
312,7
313,7
314,9
315,7
316,7
317,7
318,8
319,9
320,7
321,8
322,11
323,7
324,7
325,7
326,7
327,7
328,7
329,7
330,9
331,7
332,8
333,7
334,7
335,7
336,10
337,10
338,9
339,10
340,8
341,12
342,7
343,8
344,8
345,7
346,8
347,7
348,7
349,7
350,7
351,16
352,9
353,7
354,10
355,7
356,9
357,18
358,8
359,8
360,7
361,7
362,12
363,9
364,8
365,12
366,7
367,7
368,7
369,9
370,7
371,8
372,7
373,7
374,7
375,23
376,11
377,10
378,9
379,8
380,10
381,7
382,7
383,7
384,8
385,10
386,8
387,13
388,10
389,11
390,7
391,11
392,8
393,8
394,8
395,7
396,8
397,10
398,8
399,10
400,8
401,8
402,7
403,7
404,7
405,7
406,9
407,9
408,7
409,9
410,7
411,8
412,8
413,7
414,7
415,8
416,7
417,8
418,9
419,7
420,7
421,8
422,8
423,8
424,7
425,7
426,7
427,8
428,15
429,7
430,8
431,10
432,7
433,11
434,8
435,8
436,9
437,8
438,7
439,9
440,9
441,7
442,10
443,12
444,7
445,7
446,10
447,12
448,7
449,15
450,7
451,10
452,13
453,10
454,10
455,11
456,7
457,11
458,12
459,7
460,8
461,8
462,7
463,8
464,9
465,9
466,8
467,7
468,7
469,10
470,9
471,10
472,7
473,7
474,7
475,7
476,8
477,13
478,8
479,7
480,9
481,8
482,7
483,7
484,9
485,9
486,7
487,7
488,7
489,7
490,10
491,7
492,11
493,7
494,7
495,10
496,11
497,7
498,22
499,10
500,7
501,12
502,7
503,7
504,7
505,7
506,12
507,9
508,8
509,11
510,7
511,9
512,10
513,7
514,8
515,8
516,8
517,14
518,9
519,7
520,8
521,8
522,8
523,8
524,17
525,11
