Step,Value
3,17
5,9
6,18
8,7
10,9
11,14
13,17
14,20
15,49
16,61
17,10
18,9
19,9
20,54
24,9
25,33
30,14
33,8
34,8
36,14
39,9
40,10
42,40
43,22
44,14
45,61
47,8
49,13
50,12
53,9
54,85
55,14
56,12
57,29
60,17
61,12
63,25
65,19
66,16
67,9
68,25
71,23
72,32
73,9
74,15
76,25
78,34
79,14
84,63
85,7
86,60
87,8
88,18
89,17
94,17
102,7
104,9
105,8
106,9
113,7
116,8
118,289
119,12
120,8
124,12
125,9
126,10
129,9
130,15
133,13
137,7
139,8
141,7
142,8
143,8
144,7
145,7
146,11
148,10
150,7
153,7
154,7
155,7
157,10
158,7
159,7
161,20
162,9
164,8
165,7
167,8
168,7
171,7
175,7
176,8
177,7
178,8
180,8
181,7
183,8
185,21
186,11
187,8
188,12
190,11
191,8
198,7
202,7
206,102
207,33
208,10
212,9
213,8
214,8
215,8
218,10
219,7
222,9
223,12
225,9
226,7
227,8
229,8
230,7
231,7
232,10
233,13
234,15
237,8
238,8
240,12
244,8
245,9
247,8
249,7
250,7
255,8
258,15
259,14
260,7
261,8
263,8
267,7
269,8
271,15
272,8
273,8
277,9
278,8
280,7
282,9
284,17
289,9
291,8
292,14
295,17
297,9
298,10
299,8
301,23
302,7
303,8
307,7
308,14
310,15
313,7
317,11
318,19
319,9
320,9
322,10
325,8
326,7
327,10
330,8
331,15
333,11
337,8
339,16
341,10
342,10
343,9
344,8
345,7
347,8
348,15
353,7
354,8
356,10
358,7
359,10
360,17
362,9
363,7
364,8
365,12
367,11
368,23
370,13
371,7
373,8
375,10
377,11
378,7
379,13
381,11
382,8
385,8
386,8
387,13
388,12
390,16
391,13
392,8
393,8
398,11
402,8
403,9
405,9
408,10
415,10
416,11
420,13
421,7
422,10
424,9
426,8
428,8
430,19
439,11
440,7
441,10
442,7
444,8
445,19
448,9
451,7
454,11
457,16
458,9
459,11
460,7
461,8
463,8
464,9
465,7
467,17
468,10
469,11
471,9
473,11
474,13
478,19
482,29
485,13
486,9
488,8
489,13
491,8
493,9
496,9
503,8
506,9
507,8
510,8
511,8
512,9
514,9
515,10
516,30
517,9
519,10
524,9
525,10
531,9
533,8
534,8
535,11
536,7
537,11
538,9
539,10
540,9
541,20
542,10
544,10
547,10
548,8
549,9
551,8
552,7
555,16
557,8
559,9
560,13
563,8
564,9
565,18
567,26
568,11
569,8
571,7
573,8
574,10
577,16
578,7
579,7
580,9
581,14
582,9
583,15
584,8
586,16
587,15
591,8
592,7
593,17
595,16
596,7
597,8
598,10
600,12
602,10
603,16
604,8
606,19
608,8
610,15
611,7
612,29
615,10
619,9
620,14
622,7
623,8
625,7
629,9
630,7
632,11
634,8
638,9
641,13
642,15
644,18
645,15
646,10
647,14
648,42
649,8
650,18
651,44
652,24
656,12
657,9
659,8
661,9
664,9
666,10
667,7
668,9
671,8
672,9
673,8
674,18
675,8
677,8
678,7
679,10
681,12
682,14
683,9
684,13
685,10
686,13
688,13
689,11
692,30
696,15
699,13
700,9
701,12
702,8
703,13
704,8
705,8
706,9
708,7
709,12
710,9
714,23
718,27
719,9
721,12
722,14
723,9
724,8
725,7
726,9
729,8
730,15
731,9
736,9
738,33
739,8
740,10
741,23
743,8
746,9
747,8
750,8
751,9
752,8
753,24
754,10
756,14
759,23
760,14
762,18
764,17
765,25
766,12
767,14
769,12
770,13
771,23
772,16
773,25
774,8
775,8
776,14
779,11
780,11
784,10
785,8
787,8
789,11
791,8
792,10
793,17
794,14
795,9
796,10
798,18
800,8
802,7
805,7
806,18
807,9
808,13
809,27
811,12
812,10
813,8
815,14
816,9
818,7
821,7
823,16
824,10
825,14
828,10
831,14
832,7
834,11
836,14
838,12
839,17
843,11
845,8
846,11
847,9
848,8
850,12
851,11
852,17
853,19
857,8
859,13
860,9
861,8
862,31
863,10
867,16
868,19
869,10
870,19
873,9
874,12
875,11
876,9
877,10
879,10
880,11
881,21
882,11
884,7
887,8
889,11
890,8
892,12
893,16
894,7
896,10
897,9
899,9
900,26
905,10
907,9
908,11
909,8
910,13
911,18
912,8
913,13
915,12
916,16
917,11
920,9
921,10
922,8
923,8
925,7
931,9
932,17
933,10
935,15
939,8
942,9
945,9
948,8
949,18
951,10
952,8
953,20
954,31
956,21
957,11
958,12
959,11
960,7
961,22
962,10
963,9
964,18
966,10
967,20
969,10
971,9
972,25
974,7
976,11
977,8
978,9
979,11
982,14
983,7
984,9
985,9
987,13
988,8
996,22
999,8
1000,14
1002,12
1003,8
1004,20
1005,20
1008,9
1009,11
1011,21
1012,11
1013,10
1014,10
1017,9
1025,11
1026,22
1027,9
1029,7
1031,12
1032,8
1033,10
1035,13
1036,15
1037,8
1038,9
1039,10
1042,9
1043,12
1044,8
1049,9
1051,8
1052,11
1054,38
1055,9
1057,8
1063,12
1064,18
1066,7
1067,17
1068,9
1072,16
1073,29
1074,13
1075,7
1076,13
1077,10
1078,46
1080,9
1081,8
1082,19
1083,7
1084,9
1085,15
1086,17
1090,22
1092,11
1093,11
1098,30
1099,9
1101,14
1103,9
1104,29
1105,28
1107,16
1110,8
1111,13
1114,10
1116,10
1119,19
1122,7
1123,10
1125,11
1126,10
1127,12
1128,10
1129,9
1130,10
1131,10
1133,12
1134,9
1135,12
1138,10
1139,24
1141,10
1149,14
1150,31
1151,22
1152,14
1153,29
1155,21
1156,17
1157,21
1158,12
1160,11
1161,10
1162,12
1164,7
1165,16
1167,9
1177,19
1180,8
1181,7
1182,8
1183,42
1185,15
1186,9
1187,17
1189,19
1192,11
1193,11
1194,14
1195,11
1196,13
1197,9
1198,33
1199,11
1201,10
1203,8
1204,26
1206,12
1208,11
1210,35
1211,10
1212,29
1213,10
1214,20
1215,9
1219,16
1224,10
1225,10
1227,9
1228,9
1229,13
1232,8
1233,8
1234,9
1236,9
1238,9
1239,10
1242,14
1244,11
1246,10
1247,20
1249,25
1250,9
1253,12
1254,9
1255,10
1257,42
1258,18
1259,10
1261,16
1262,8
1263,8
1264,11
1265,9
1266,8
1268,14
1271,17
1272,13
1274,21
1278,11
1279,10
1281,7
1282,10
1285,7
1287,9
1289,9
1291,30
1292,8
1293,12
1294,9
1296,7
1299,33
1300,42
1302,16
1303,12
1304,19
1306,40
1310,7
1312,39
1313,16
1315,7
1316,17
1317,9
1318,10
1319,15
1320,18
1324,8
1325,10
1326,8
1327,10
1328,41
1330,10
1332,10
1333,10
1334,9
1335,8
1336,8
1337,15
1340,7
1343,10
1345,19
1347,9
1348,9
1349,10
1350,15
1351,20
1355,11
1359,8
1361,12
1362,10
1363,7
1365,8
1366,15
1367,9
1370,13
1373,14
1374,10
1375,22
1377,7
1378,15
1379,19
1381,14
1382,26
1384,8
1385,8
1386,10
1387,13
1388,9
1389,17
1391,9
1392,8
1395,15
1400,13
1404,10
1412,12
1413,9
1414,10
1415,10
1416,29
1419,9
1420,9
1422,9
1423,24
1425,14
1426,8
1427,9
1428,22
1430,20
1432,16
1433,21
1434,13
1436,10
1437,10
1438,11
1440,21
1442,10
1448,16
1450,8
1454,16
1455,13
1456,7
1460,12
1465,7
1466,14
1470,8
1473,13
1474,14
1477,12
1478,12
1480,11
1481,10
1482,19
1483,11
1485,11
1486,20
1489,8
1490,8
1491,8
1492,9
1493,10
1497,9
1500,16
1501,11
1502,10
1503,14
1505,9
1506,11
1507,8
1508,10
1509,8
1510,9
1511,13
1512,20
1513,10
1516,22
1518,16
1523,19
1524,9
1525,9
1527,9
1531,16
1534,12
1536,31
1540,14
1541,11
1542,10
1543,24
1546,10
1548,11
1549,8
1550,25
1551,8
1552,13
1554,23
1555,24
1558,11
1559,10
1561,10
1562,10
1563,26
1568,9
1569,9
1570,9
1578,14
1579,8
1580,9
1582,19
1583,12
1584,9
1585,7
1586,19
1587,8
1588,13
1590,9
1592,8
1593,20
1594,10
1596,8
1597,8
1599,8
1601,11
1602,10
1604,11
1605,8
1609,8
1610,8
1611,8
1612,11
1613,11
1614,9
1615,22
1617,10
1618,11
1619,10
1620,27
1624,19
1626,20
1627,10
1628,15
1630,13
1632,9
1633,12
1634,13
1636,39
1637,9
1638,10
1640,14
1641,7
1642,11
1643,19
1644,7
1645,8
1646,8
1647,14
1648,13
1651,30
1652,20
1654,9
1655,10
1658,11
1659,9
1660,22
1661,24
1662,10
1664,8
1668,14
1670,7
1671,12
1672,13
1673,10
1675,14
1676,13
1678,13
1679,10
1680,17
1682,20
1683,9
1684,14
1685,9
1687,30
1689,14
1691,12
1692,8
1694,11
1695,12
1696,11
1697,8
1699,10
1702,13
1703,16
1704,13
1705,10
1706,13
1708,7
1709,8
1710,8
1711,9
1712,11
1713,9
1714,21
1715,16
1717,10
1718,9
1719,18
1723,9
1726,9
1727,15
1728,10
1730,9
1731,14
1732,9
1733,7
1734,9
1735,15
1737,16
1738,10
1739,10
1741,20
